Product code,Station number,Year,Month,Rainfall,Quality
IDCJAC0001,23034,1955,3,2.3,Y
IDCJAC0001,23034,1955,4,46.2,Y
IDCJAC0001,23034,1955,5,93.7,Y
IDCJAC0001,23034,1955,6,136.1,Y
IDCJAC0001,23034,1955,7,33.2,Y
IDCJAC0001,23034,1955,8,76.4,Y
IDCJAC0001,23034,1955,9,49.5,Y
IDCJAC0001,23034,1955,10,45.1,Y
IDCJAC0001,23034,1955,11,53.3,Y
IDCJAC0001,23034,1955,12,18,Y
IDCJAC0001,23034,1956,1,23.9,Y
IDCJAC0001,23034,1956,2,6.6,Y
IDCJAC0001,23034,1956,3,43.2,Y
IDCJAC0001,23034,1956,4,72.9,Y
IDCJAC0001,23034,1956,5,88.5,Y
IDCJAC0001,23034,1956,6,115.6,Y
IDCJAC0001,23034,1956,7,65.8,Y
IDCJAC0001,23034,1956,8,44.5,Y
IDCJAC0001,23034,1956,9,55.2,Y
IDCJAC0001,23034,1956,10,40.2,Y
IDCJAC0001,23034,1956,11,15.8,Y
IDCJAC0001,23034,1956,12,17.6,Y
IDCJAC0001,23034,1957,1,0.3,Y
IDCJAC0001,23034,1957,2,0.8,Y
IDCJAC0001,23034,1957,3,21.1,Y
IDCJAC0001,23034,1957,4,21.6,Y
IDCJAC0001,23034,1957,5,40.1,Y
IDCJAC0001,23034,1957,6,63.4,Y
IDCJAC0001,23034,1957,7,83.1,Y
IDCJAC0001,23034,1957,8,32.4,Y
IDCJAC0001,23034,1957,9,34.5,Y
IDCJAC0001,23034,1957,10,41.1,Y
IDCJAC0001,23034,1957,11,33.7,Y
IDCJAC0001,23034,1957,12,7.8,Y
IDCJAC0001,23034,1958,1,3.9,Y
IDCJAC0001,23034,1958,2,2.3,Y
IDCJAC0001,23034,1958,3,22.1,Y
IDCJAC0001,23034,1958,4,13.5,Y
IDCJAC0001,23034,1958,5,89.3,Y
IDCJAC0001,23034,1958,6,8.2,Y
IDCJAC0001,23034,1958,7,79.2,Y
IDCJAC0001,23034,1958,8,51.2,Y
IDCJAC0001,23034,1958,9,70.4,Y
IDCJAC0001,23034,1958,10,61.3,Y
IDCJAC0001,23034,1958,11,10.3,Y
IDCJAC0001,23034,1958,12,6.6,Y
IDCJAC0001,23034,1959,1,4.4,Y
IDCJAC0001,23034,1959,2,19.4,Y
IDCJAC0001,23034,1959,3,23.9,Y
IDCJAC0001,23034,1959,4,7.1,Y
IDCJAC0001,23034,1959,5,4.4,Y
IDCJAC0001,23034,1959,6,11.5,Y
IDCJAC0001,23034,1959,7,34.1,Y
IDCJAC0001,23034,1959,8,41.8,Y
IDCJAC0001,23034,1959,9,28,Y
IDCJAC0001,23034,1959,10,20.9,Y
IDCJAC0001,23034,1959,11,21.5,Y
IDCJAC0001,23034,1959,12,34.6,Y
IDCJAC0001,23034,1960,1,9.1,Y
IDCJAC0001,23034,1960,2,45.2,Y
IDCJAC0001,23034,1960,3,22.6,Y
IDCJAC0001,23034,1960,4,53.9,Y
IDCJAC0001,23034,1960,5,115.9,Y
IDCJAC0001,23034,1960,6,42.7,Y
IDCJAC0001,23034,1960,7,33.4,Y
IDCJAC0001,23034,1960,8,30.9,Y
IDCJAC0001,23034,1960,9,96.4,Y
IDCJAC0001,23034,1960,10,20.8,Y
IDCJAC0001,23034,1960,11,65.4,Y
IDCJAC0001,23034,1960,12,2.4,Y
IDCJAC0001,23034,1961,1,4.8,Y
IDCJAC0001,23034,1961,2,11,Y
IDCJAC0001,23034,1961,3,6.2,Y
IDCJAC0001,23034,1961,4,110,Y
IDCJAC0001,23034,1961,5,26.3,Y
IDCJAC0001,23034,1961,6,39.6,Y
IDCJAC0001,23034,1961,7,40.8,Y
IDCJAC0001,23034,1961,8,40.1,Y
IDCJAC0001,23034,1961,9,24,Y
IDCJAC0001,23034,1961,10,8.3,Y
IDCJAC0001,23034,1961,11,10.1,Y
IDCJAC0001,23034,1961,12,7.3,Y
IDCJAC0001,23034,1962,1,8.7,Y
IDCJAC0001,23034,1962,2,15.8,Y
IDCJAC0001,23034,1962,3,23.4,Y
IDCJAC0001,23034,1962,4,2.1,Y
IDCJAC0001,23034,1962,5,76.2,Y
IDCJAC0001,23034,1962,6,40.7,Y
IDCJAC0001,23034,1962,7,32.3,Y
IDCJAC0001,23034,1962,8,51.9,Y
IDCJAC0001,23034,1962,9,13.1,Y
IDCJAC0001,23034,1962,10,65.4,Y
IDCJAC0001,23034,1962,11,12.9,Y
IDCJAC0001,23034,1962,12,43,Y
IDCJAC0001,23034,1963,1,62.3,Y
IDCJAC0001,23034,1963,2,3.3,Y
IDCJAC0001,23034,1963,3,1.8,Y
IDCJAC0001,23034,1963,4,45.7,Y
IDCJAC0001,23034,1963,5,125.4,Y
