Product code,Bureau of Meteorology station number,Year,Month, Temperature,Quality
IDCJAC0002,23034,1955,2,25.9,Y
IDCJAC0002,23034,1955,3,25.3,Y
IDCJAC0002,23034,1955,4,21.8,Y
IDCJAC0002,23034,1955,5,16.7,Y
IDCJAC0002,23034,1955,6,15.2,Y
IDCJAC0002,23034,1955,7,14.1,Y
IDCJAC0002,23034,1955,8,16.2,Y
IDCJAC0002,23034,1955,9,19.1,Y
IDCJAC0002,23034,1955,10,20.5,Y
IDCJAC0002,23034,1955,11,21,Y
IDCJAC0002,23034,1955,12,23.6,Y
IDCJAC0002,23034,1956,1,25.5,Y
IDCJAC0002,23034,1956,2,29.9,Y
IDCJAC0002,23034,1956,3,25.8,Y
IDCJAC0002,23034,1956,4,21.4,Y
IDCJAC0002,23034,1956,5,18.3,Y
IDCJAC0002,23034,1956,6,14.5,Y
IDCJAC0002,23034,1956,7,14.1,Y
IDCJAC0002,23034,1956,8,14.5,Y
IDCJAC0002,23034,1956,9,16.3,Y
IDCJAC0002,23034,1956,10,18.5,Y
IDCJAC0002,23034,1956,11,21.4,Y
IDCJAC0002,23034,1956,12,22.4,Y
IDCJAC0002,23034,1957,1,26.7,Y
IDCJAC0002,23034,1957,2,26.5,Y
IDCJAC0002,23034,1957,3,24,Y
IDCJAC0002,23034,1957,4,21,Y
IDCJAC0002,23034,1957,5,18.5,Y
IDCJAC0002,23034,1957,6,19.9,Y
IDCJAC0002,23034,1957,7,13.9,Y
IDCJAC0002,23034,1957,8,15.6,Y
IDCJAC0002,23034,1957,9,17.1,Y
IDCJAC0002,23034,1957,10,20.1,Y
IDCJAC0002,23034,1957,11,22.4,Y
IDCJAC0002,23034,1957,12,26,Y
IDCJAC0002,23034,1958,1,26.3,Y
IDCJAC0002,23034,1958,2,26.8,Y
IDCJAC0002,23034,1958,3,23.9,Y
IDCJAC0002,23034,1958,4,23.4,Y
IDCJAC0002,23034,1958,5,19.2,Y
IDCJAC0002,23034,1958,6,14.9,Y
IDCJAC0002,23034,1958,7,14.3,Y
IDCJAC0002,23034,1958,8,15.1,Y
IDCJAC0002,23034,1958,9,16.2,Y
IDCJAC0002,23034,1958,10,18.7,Y
IDCJAC0002,23034,1958,11,23.5,Y
IDCJAC0002,23034,1958,12,23,Y
IDCJAC0002,23034,1959,1,28.9,Y
IDCJAC0002,23034,1959,2,26.3,Y
IDCJAC0002,23034,1959,3,25.4,Y
IDCJAC0002,23034,1959,4,22.6,Y
IDCJAC0002,23034,1959,5,19,Y
IDCJAC0002,23034,1959,6,16.3,Y
IDCJAC0002,23034,1959,7,14.9,Y
IDCJAC0002,23034,1959,8,17.9,Y
IDCJAC0002,23034,1959,9,18.5,Y
IDCJAC0002,23034,1959,10,20.6,Y
IDCJAC0002,23034,1959,11,26.6,Y
IDCJAC0002,23034,1959,12,22.1,Y
IDCJAC0002,23034,1960,1,30.1,Y
IDCJAC0002,23034,1960,2,25,Y
IDCJAC0002,23034,1960,3,25.8,Y
IDCJAC0002,23034,1960,4,19.5,Y
IDCJAC0002,23034,1960,5,15.6,Y
IDCJAC0002,23034,1960,6,14.5,Y
IDCJAC0002,23034,1960,7,14,Y
IDCJAC0002,23034,1960,8,14.3,Y
IDCJAC0002,23034,1960,9,16.3,Y
IDCJAC0002,23034,1960,10,21.5,Y
IDCJAC0002,23034,1960,11,20.8,Y
IDCJAC0002,23034,1960,12,27.8,Y
IDCJAC0002,23034,1961,1,30,Y
IDCJAC0002,23034,1961,2,27.8,Y
IDCJAC0002,23034,1961,3,25.6,Y
IDCJAC0002,23034,1961,4,22.1,Y
IDCJAC0002,23034,1961,5,18.8,Y
IDCJAC0002,23034,1961,6,17.1,Y
IDCJAC0002,23034,1961,7,14.5,Y
IDCJAC0002,23034,1961,8,15.6,Y
IDCJAC0002,23034,1961,9,20.5,Y
IDCJAC0002,23034,1961,10,22.6,Y
IDCJAC0002,23034,1961,11,23.6,Y
IDCJAC0002,23034,1961,12,25.9,Y
IDCJAC0002,23034,1962,1,28.1,Y
IDCJAC0002,23034,1962,2,27.1,Y
IDCJAC0002,23034,1962,3,25.6,Y
IDCJAC0002,23034,1962,4,22.8,Y
IDCJAC0002,23034,1962,5,17,Y
IDCJAC0002,23034,1962,6,17,Y
IDCJAC0002,23034,1962,7,15.8,Y
IDCJAC0002,23034,1962,8,15.7,Y
IDCJAC0002,23034,1962,9,18.5,Y
IDCJAC0002,23034,1962,10,19.8,Y
IDCJAC0002,23034,1962,11,25.1,Y
IDCJAC0002,23034,1962,12,24.5,Y
IDCJAC0002,23034,1963,1,27,Y
IDCJAC0002,23034,1963,2,27.3,Y
IDCJAC0002,23034,1963,3,24.8,Y
IDCJAC0002,23034,1963,4,21.4,Y
IDCJAC0002,23034,1963,5,17.3,Y
IDCJAC0002,23034,1963,6,15.5,Y
IDCJAC0002,23034,1963,7,13.8,Y
IDCJAC0002,23034,1963,8,15.5,Y
IDCJAC0002,23034,1963,9,18.8,Y
IDCJAC0002,23034,1963,10,22.3,Y
IDCJAC0002,23034,1963,11,24.6,Y
IDCJAC0002,23034,1963,12,26.4,Y
IDCJAC0002,23034,1964,1,26.1,Y
IDCJAC0002,23034,1964,2,25,Y
IDCJAC0002,23034,1964,3,24.7,Y
IDCJAC0002,23034,1964,4,21.4,Y
IDCJAC0002,23034,1964,5,18.4,Y
IDCJAC0002,23034,1964,6,15.8,Y
IDCJAC0002,23034,1964,7,15,Y
IDCJAC0002,23034,1964,8,15.5,Y
IDCJAC0002,23034,1964,9,17.9,Y
IDCJAC0002,23034,1964,10,18.9,Y
IDCJAC0002,23034,1964,11,23.3,Y
IDCJAC0002,23034,1964,12,21.1,Y
IDCJAC0002,23034,1965,1,26.2,Y
IDCJAC0002,23034,1965,2,28.5,Y
IDCJAC0002,23034,1965,3,25.6,Y
IDCJAC0002,23034,1965,4,19.9,Y
IDCJAC0002,23034,1965,5,18.6,Y
IDCJAC0002,23034,1965,6,16.1,Y
IDCJAC0002,23034,1965,7,14.2,Y
IDCJAC0002,23034,1965,8,15.9,Y
IDCJAC0002,23034,1965,9,18.6,Y
IDCJAC0002,23034,1965,10,22.8,Y
IDCJAC0002,23034,1965,11,23.3,Y
IDCJAC0002,23034,1965,12,28.2,Y
IDCJAC0002,23034,1966,1,29.3,Y
IDCJAC0002,23034,1966,2,26.3,Y
IDCJAC0002,23034,1966,3,25.3,Y
IDCJAC0002,23034,1966,4,21.1,Y
IDCJAC0002,23034,1966,5,17.8,Y
IDCJAC0002,23034,1966,6,16.1,Y
IDCJAC0002,23034,1966,7,13.8,Y
IDCJAC0002,23034,1966,8,15.1,Y
IDCJAC0002,23034,1966,9,17.3,Y
IDCJAC0002,23034,1966,10,19.7,Y
IDCJAC0002,23034,1966,11,24.7,Y
IDCJAC0002,23034,1966,12,24.4,Y
IDCJAC0002,23034,1967,1,25.5,Y
IDCJAC0002,23034,1967,2,29.3,Y
IDCJAC0002,23034,1967,3,25.3,Y
IDCJAC0002,23034,1967,4,24.6,Y
IDCJAC0002,23034,1967,5,19.9,Y
IDCJAC0002,23034,1967,6,18,Y
IDCJAC0002,23034,1967,7,15.8,Y
IDCJAC0002,23034,1967,8,15.7,Y
IDCJAC0002,23034,1967,9,18.8,Y
IDCJAC0002,23034,1967,10,23.4,Y
IDCJAC0002,23034,1967,11,25.1,Y
IDCJAC0002,23034,1967,12,25.4,Y
IDCJAC0002,23034,1968,1,31,Y
IDCJAC0002,23034,1968,2,30.5,Y
IDCJAC0002,23034,1968,3,26.4,Y
IDCJAC0002,23034,1968,4,23.6,Y
IDCJAC0002,23034,1968,5,16.9,Y
IDCJAC0002,23034,1968,6,15.1,Y
IDCJAC0002,23034,1968,7,13.7,Y
IDCJAC0002,23034,1968,8,14.5,Y
IDCJAC0002,23034,1968,9,17.3,Y
IDCJAC0002,23034,1968,10,21.2,Y
IDCJAC0002,23034,1968,11,21.7,Y
IDCJAC0002,23034,1968,12,25.4,Y
IDCJAC0002,23034,1969,1,30.5,Y
IDCJAC0002,23034,1969,2,26.3,Y
IDCJAC0002,23034,1969,3,24.6,Y
IDCJAC0002,23034,1969,4,22.4,Y
IDCJAC0002,23034,1969,5,17.8,Y
IDCJAC0002,23034,1969,6,15.4,Y
IDCJAC0002,23034,1969,7,15.9,Y
IDCJAC0002,23034,1969,8,17.1,Y
IDCJAC0002,23034,1969,9,15.9,Y
IDCJAC0002,23034,1969,10,22.5,Y
IDCJAC0002,23034,1969,11,23.7,Y
IDCJAC0002,23034,1969,12,23.5,Y
IDCJAC0002,23034,1970,1,26.1,Y
IDCJAC0002,23034,1970,2,29.4,Y
IDCJAC0002,23034,1970,3,24.8,Y
IDCJAC0002,23034,1970,4,22.8,Y
IDCJAC0002,23034,1970,5,17.6,Y
IDCJAC0002,23034,1970,6,16.6,Y
IDCJAC0002,23034,1970,7,15.1,Y
IDCJAC0002,23034,1970,8,14.3,Y
IDCJAC0002,23034,1970,9,15.9,Y
IDCJAC0002,23034,1970,10,20.5,Y
IDCJAC0002,23034,1970,11,23.6,Y
IDCJAC0002,23034,1970,12,25.7,Y
IDCJAC0002,23034,1971,1,27.6,Y
IDCJAC0002,23034,1971,2,29.3,Y
IDCJAC0002,23034,1971,3,28.2,Y
IDCJAC0002,23034,1971,4,24.1,Y
IDCJAC0002,23034,1971,5,17.7,Y
IDCJAC0002,23034,1971,6,15.1,Y
IDCJAC0002,23034,1971,7,14.7,Y
IDCJAC0002,23034,1971,8,15,Y
IDCJAC0002,23034,1971,9,17.3,Y
IDCJAC0002,23034,1971,10,20.1,Y
IDCJAC0002,23034,1971,11,21.1,Y
IDCJAC0002,23034,1971,12,24.5,Y
IDCJAC0002,23034,1972,1,26.8,Y
IDCJAC0002,23034,1972,2,28.5,Y
IDCJAC0002,23034,1972,3,24.6,Y
IDCJAC0002,23034,1972,4,23.7,Y
IDCJAC0002,23034,1972,5,20.3,Y
IDCJAC0002,23034,1972,6,17.1,Y
IDCJAC0002,23034,1972,7,15.2,Y
IDCJAC0002,23034,1972,8,16.3,Y
IDCJAC0002,23034,1972,9,19.4,Y
IDCJAC0002,23034,1972,10,21.6,Y
IDCJAC0002,23034,1972,11,23.5,Y
IDCJAC0002,23034,1972,12,27,Y
IDCJAC0002,23034,1973,1,30.3,Y
IDCJAC0002,23034,1973,2,27.4,Y
IDCJAC0002,23034,1973,3,24.9,Y
IDCJAC0002,23034,1973,4,23.1,Y
IDCJAC0002,23034,1973,5,19.8,Y
IDCJAC0002,23034,1973,6,14.9,Y
IDCJAC0002,23034,1973,7,16.2,Y
IDCJAC0002,23034,1973,8,16.3,Y
IDCJAC0002,23034,1973,9,18.8,Y
IDCJAC0002,23034,1973,10,21.4,Y
IDCJAC0002,23034,1973,11,23.6,Y
IDCJAC0002,23034,1973,12,27.2,Y
IDCJAC0002,23034,1974,1,30,Y
IDCJAC0002,23034,1974,2,26.6,Y
IDCJAC0002,23034,1974,3,27.9,Y
IDCJAC0002,23034,1974,4,21.4,Y
IDCJAC0002,23034,1974,5,18,Y
IDCJAC0002,23034,1974,6,16.3,Y
IDCJAC0002,23034,1974,7,15.2,Y
IDCJAC0002,23034,1974,8,16.2,Y
IDCJAC0002,23034,1974,9,16.8,Y
IDCJAC0002,23034,1974,10,19.8,Y
IDCJAC0002,23034,1974,11,22.5,Y
IDCJAC0002,23034,1974,12,25,Y
IDCJAC0002,23034,1975,1,25.3,Y
IDCJAC0002,23034,1975,2,29.8,Y
IDCJAC0002,23034,1975,3,24.2,Y
IDCJAC0002,23034,1975,4,21.7,Y
IDCJAC0002,23034,1975,5,19.6,Y
IDCJAC0002,23034,1975,6,15.7,Y
IDCJAC0002,23034,1975,7,17.1,Y
IDCJAC0002,23034,1975,8,15.4,Y
IDCJAC0002,23034,1975,9,18.5,Y
IDCJAC0002,23034,1975,10,19.2,Y
IDCJAC0002,23034,1975,11,24.9,Y
IDCJAC0002,23034,1975,12,28.1,Y
IDCJAC0002,23034,1976,1,26.9,Y
IDCJAC0002,23034,1976,2,29.3,Y
IDCJAC0002,23034,1976,3,25,Y
IDCJAC0002,23034,1976,4,21.7,Y
IDCJAC0002,23034,1976,5,17.9,Y
IDCJAC0002,23034,1976,6,15.8,Y
IDCJAC0002,23034,1976,7,15.7,Y
IDCJAC0002,23034,1976,8,16.6,Y
IDCJAC0002,23034,1976,9,17.6,Y
IDCJAC0002,23034,1976,10,18.8,Y
IDCJAC0002,23034,1976,11,23,Y
IDCJAC0002,23034,1976,12,26.3,Y
IDCJAC0002,23034,1977,1,28.5,Y
IDCJAC0002,23034,1977,2,29,Y
IDCJAC0002,23034,1977,3,24.6,Y
IDCJAC0002,23034,1977,4,20.2,Y
IDCJAC0002,23034,1977,5,18.5,Y
IDCJAC0002,23034,1977,6,15.3,Y
IDCJAC0002,23034,1977,7,15.3,Y
IDCJAC0002,23034,1977,8,19,Y
IDCJAC0002,23034,1977,9,17.8,Y
IDCJAC0002,23034,1977,10,22.5,Y
IDCJAC0002,23034,1977,11,23.5,Y
IDCJAC0002,23034,1977,12,27.3,Y
IDCJAC0002,23034,1978,1,26.6,Y
IDCJAC0002,23034,1978,2,27.1,Y
IDCJAC0002,23034,1978,3,26,Y
IDCJAC0002,23034,1978,4,22.2,Y
IDCJAC0002,23034,1978,5,19,Y
IDCJAC0002,23034,1978,6,15.5,Y
IDCJAC0002,23034,1978,7,14.4,Y
IDCJAC0002,23034,1978,8,14.8,Y
IDCJAC0002,23034,1978,9,16.8,Y
IDCJAC0002,23034,1978,10,21.3,Y
IDCJAC0002,23034,1978,11,23,Y
IDCJAC0002,23034,1978,12,25.8,Y
IDCJAC0002,23034,1979,1,31.4,Y
IDCJAC0002,23034,1979,2,29.1,Y
IDCJAC0002,23034,1979,3,25.8,Y
IDCJAC0002,23034,1979,4,20.9,Y
IDCJAC0002,23034,1979,5,17.8,Y
IDCJAC0002,23034,1979,6,17.4,Y
IDCJAC0002,23034,1979,7,15.7,Y
IDCJAC0002,23034,1979,8,15.5,Y
IDCJAC0002,23034,1979,9,17.7,Y
IDCJAC0002,23034,1979,10,20,Y
IDCJAC0002,23034,1979,11,24.4,Y
IDCJAC0002,23034,1979,12,25.8,Y
IDCJAC0002,23034,1980,1,25.7,Y
IDCJAC0002,23034,1980,2,27.8,Y
IDCJAC0002,23034,1980,3,25.3,Y
IDCJAC0002,23034,1980,4,24.4,Y
IDCJAC0002,23034,1980,5,20.1,Y
IDCJAC0002,23034,1980,6,15.8,Y
IDCJAC0002,23034,1980,7,15.3,Y
IDCJAC0002,23034,1980,8,17.1,Y
IDCJAC0002,23034,1980,9,19.6,Y
IDCJAC0002,23034,1980,10,21.6,Y
IDCJAC0002,23034,1980,11,25.7,Y
IDCJAC0002,23034,1980,12,28.1,Y
IDCJAC0002,23034,1981,1,31.6,Y
IDCJAC0002,23034,1981,2,30,Y
IDCJAC0002,23034,1981,3,22.9,Y
IDCJAC0002,23034,1981,4,24.1,Y
IDCJAC0002,23034,1981,5,18.4,Y
IDCJAC0002,23034,1981,6,15.6,Y
IDCJAC0002,23034,1981,7,15,Y
IDCJAC0002,23034,1981,8,15,Y
IDCJAC0002,23034,1981,9,19.5,Y
IDCJAC0002,23034,1981,10,21.2,Y
IDCJAC0002,23034,1981,11,23.4,Y
IDCJAC0002,23034,1981,12,25.7,Y
IDCJAC0002,23034,1982,1,30.3,Y
IDCJAC0002,23034,1982,2,28.6,Y
IDCJAC0002,23034,1982,3,26.2,Y
IDCJAC0002,23034,1982,4,21.9,Y
IDCJAC0002,23034,1982,5,18.2,Y
IDCJAC0002,23034,1982,6,14.8,Y
IDCJAC0002,23034,1982,7,14.6,Y
IDCJAC0002,23034,1982,8,19.1,Y
IDCJAC0002,23034,1982,9,18.2,Y
IDCJAC0002,23034,1982,10,21,Y
IDCJAC0002,23034,1982,11,26.5,Y
IDCJAC0002,23034,1982,12,26.7,Y
IDCJAC0002,23034,1983,1,27.4,Y
IDCJAC0002,23034,1983,2,31,Y
IDCJAC0002,23034,1983,3,25.2,Y
IDCJAC0002,23034,1983,4,19.6,Y
